price_snapshot_id,country_key,date_key,snapshot_stage,price_local_per_liter,price_usd_per_liter,amount_change_local,pct_increase,trend
2,11,20260307,mar7_2026,321.17,1.15,55.0,20.66,Increase
4,7,20260307,mar7_2026,94.77,1.14,0.0,0.0,Stable
6,3,20260307,mar7_2026,130.0,1.06,5.0,4.0,Increase
8,1,20260307,mar7_2026,57.0,0.82,0.0,0.0,Stable
10,10,20260307,mar7_2026,190.0,1.43,4.0,2.15,Increase
12,14,20260307,mar7_2026,370.0,1.22,5.0,1.37,Increase
14,15,20260307,mar7_2026,43.0,1.19,2.0,4.88,Increase
16,8,20260307,mar7_2026,0.32,0.32,0.02,6.67,Increase
18,12,20260307,mar7_2026,0.66,0.66,0.04,6.45,Increase
20,16,20260307,mar7_2026,0.68,0.68,0.03,4.62,Increase
22,4,20260307,mar7_2026,1.26,1.26,0.06,5.0,Increase
24,18,20260307,mar7_2026,1.85,1.85,0.07,3.93,Increase
26,6,20260307,mar7_2026,1.89,1.89,0.07,3.85,Increase
28,17,20260307,mar7_2026,0.9,0.9,0.05,5.88,Increase
1,11,,before_war,266.17,0.95,0.0,0.0,Baseline
3,7,,before_war,94.77,1.14,0.0,0.0,Baseline
5,3,,before_war,125.0,1.02,0.0,0.0,Baseline
7,1,,before_war,57.0,0.82,0.0,0.0,Baseline
9,10,,before_war,186.0,1.4,0.0,0.0,Baseline
11,14,,before_war,365.0,1.2,0.0,0.0,Baseline
13,15,,before_war,41.0,1.13,0.0,0.0,Baseline
15,8,,before_war,0.3,0.3,0.0,0.0,Baseline
17,12,,before_war,0.62,0.62,0.0,0.0,Baseline
19,16,,before_war,0.65,0.65,0.0,0.0,Baseline
21,4,,before_war,1.2,1.2,0.0,0.0,Baseline
23,18,,before_war,1.78,1.78,0.0,0.0,Baseline
25,6,,before_war,1.82,1.82,0.0,0.0,Baseline
27,17,,before_war,0.85,0.85,0.0,0.0,Baseline
