price_snapshot_id,country_id,snapshot_stage,snapshot_date,price_local_per_liter,price_usd_per_liter,currency_code,unit,amount_change_local,pct_increase,trend
1,11,before_war,,266.17,0.95,PKR,PKR/L,0.0,0.0,Baseline
2,11,mar7_2026,2026-03-07,321.17,1.15,PKR,PKR/L,55.0,20.66,Increase
3,7,before_war,,94.77,1.14,INR,INR/L,0.0,0.0,Baseline
4,7,mar7_2026,2026-03-07,94.77,1.14,INR,INR/L,0.0,0.0,Stable
5,3,before_war,,125.0,1.02,BDT,BDT/L,0.0,0.0,Baseline
6,3,mar7_2026,2026-03-07,130.0,1.06,BDT,BDT/L,5.0,4.0,Increase
7,1,before_war,,57.0,0.82,AFN,AFN/L,0.0,0.0,Baseline
8,1,mar7_2026,2026-03-07,57.0,0.82,AFN,AFN/L,0.0,0.0,Stable
9,10,before_war,,186.0,1.4,NPR,NPR/L,0.0,0.0,Baseline
10,10,mar7_2026,2026-03-07,190.0,1.43,NPR,NPR/L,4.0,2.15,Increase
11,14,before_war,,365.0,1.2,LKR,LKR/L,0.0,0.0,Baseline
12,14,mar7_2026,2026-03-07,370.0,1.22,LKR,LKR/L,5.0,1.37,Increase
13,15,before_war,,41.0,1.13,TRY,TRY/L,0.0,0.0,Baseline
14,15,mar7_2026,2026-03-07,43.0,1.19,TRY,TRY/L,2.0,4.88,Increase
15,8,before_war,,0.3,0.3,USD,USD/L,0.0,0.0,Baseline
16,8,mar7_2026,2026-03-07,0.32,0.32,USD,USD/L,0.02,6.67,Increase
17,12,before_war,,0.62,0.62,USD,USD/L,0.0,0.0,Baseline
18,12,mar7_2026,2026-03-07,0.66,0.66,USD,USD/L,0.04,6.45,Increase
19,16,before_war,,0.65,0.65,USD,USD/L,0.0,0.0,Baseline
20,16,mar7_2026,2026-03-07,0.68,0.68,USD,USD/L,0.03,4.62,Increase
21,4,before_war,,1.2,1.2,USD,USD/L,0.0,0.0,Baseline
22,4,mar7_2026,2026-03-07,1.26,1.26,USD,USD/L,0.06,5.0,Increase
23,18,before_war,,1.78,1.78,USD,USD/L,0.0,0.0,Baseline
24,18,mar7_2026,2026-03-07,1.85,1.85,USD,USD/L,0.07,3.93,Increase
25,6,before_war,,1.82,1.82,USD,USD/L,0.0,0.0,Baseline
26,6,mar7_2026,2026-03-07,1.89,1.89,USD,USD/L,0.07,3.85,Increase
27,17,before_war,,0.85,0.85,USD,USD/L,0.0,0.0,Baseline
28,17,mar7_2026,2026-03-07,0.9,0.9,USD,USD/L,0.05,5.88,Increase
